STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,link
2660,REM,CTCP Tu bổ Di tích Trung ương - Vinaremon,"Xây dựng nhà cửa, cao ốc",OTC,1148600,https://finance.vietstock.vn/REM-ctcp-tu-bo-di-tich-trung-uong-vinaremon.htm
2661,REN,CTCP Xây dựng và Đầu tư KDL Sinh Thái,Dịch vụ ăn uống,OTC,2818032,https://finance.vietstock.vn/REN-ctcp-xay-dung-va-dau-tu-kdl-sinh-thai.htm
2662,RES10,CTCP Địa ốc 10,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/RES10-ctcp-dia-oc-10.htm
2663,RESCO8,CTCP Địa ốc 8,Kho bãi,OTC,0,https://finance.vietstock.vn/RESCO8-ctcp-dia-oc-8.htm
2664,RESCONHA,CTCP Phát triển và Kinh doanh Nhà,"Xây dựng nhà cửa, cao ốc",Khác,0,https://finance.vietstock.vn/RESCONHA-ctcp-phat-trien-va-kinh-doanh-nha.htm
2665,RHC,CTCP Thủy điện Ry Ninh II,"Phát, truyền tải và phân phối điện năng",OTC,5120000,https://finance.vietstock.vn/RHC-ctcp-thuy-dien-ry-ninh-ii.htm
2666,RHN,CTCP Đường sắt Hà Ninh,Xây dựng công nghiệp nặng và dân dụng,OTC,1509900,https://finance.vietstock.vn/RHN-ctcp-duong-sat-ha-ninh.htm
2667,Ricons,CTCP Tập đoàn Đầu tư Xây dựng Ricons,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/Ricons-ctcp-tap-doan-dau-tu-xay-dung-ricons.htm
2668,RLC,CTCP Đường bộ Lào Cai,Xây dựng công nghiệp nặng và dân dụng,OTC,1138689,https://finance.vietstock.vn/RLC-ctcp-duong-bo-lao-cai.htm
2669,RNG,CTCP Quản lý Quỹ Đối tác Toàn cầu,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0,https://finance.vietstock.vn/RNG-ctcp-quan-ly-quy-doi-tac-toan-cau.htm
2670,ROSE,CTCP Chứng khoán Globalmind Capital,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/ROSE-ctcp-chung-khoan-globalmind-capital.htm
2671,RoyalVN,Công ty Tư vấn Kiểm toán Hoàng Gia Việt Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/RoyalVN-cong-ty-tu-van-kiem-toan-hoang-gia-viet-nam.htm
2672,RTH,CTCP Đường sắt Thanh Hóa,Xây dựng công nghiệp nặng và dân dụng,OTC,2085900,https://finance.vietstock.vn/RTH-ctcp-duong-sat-thanh-hoa.htm
2673,RTS,CTCP Thông tin Tín hiệu Đường sắt Đà Nẵng,Hỗ trợ vận tải,OTC,1083333,https://finance.vietstock.vn/RTS-ctcp-thong-tin-tin-hieu-duong-sat-da-nang.htm
2674,RUID,CTCP Đầu tư Phát triển Hạ tầng và Đô thị Đường sắt,Vận tải đường sắt,OTC,0,https://finance.vietstock.vn/RUID-ctcp-dau-tu-phat-trien-ha-tang-va-do-thi-duong-sat.htm
2675,RUSCO,CTCP Kho vận và Dịch vụ Hàng hóa Cao su,Kho bãi,OTC,0,https://finance.vietstock.vn/RUSCO-ctcp-kho-van-va-dich-vu-hang-hoa-cao-su.htm
2676,S33,CTCP Mía đường 333,Sản xuất thực phẩm,OTC,8331409,https://finance.vietstock.vn/S33-ctcp-mia-duong-333.htm
2677,S64,CTCP Sông Đà 6.04,"Xây dựng nhà cửa, cao ốc",OTC,2000000,https://finance.vietstock.vn/S64-ctcp-song-da-6-04.htm
2678,S91,CTCP Sông Đà 9.01,Xây dựng công nghiệp nặng và dân dụng,OTC,2940000,https://finance.vietstock.vn/S91-ctcp-song-da-9-01.htm
2679,SAAC,Công ty TNHH Kế toán và Kiểm toán Phương Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SAAC-cong-ty-tnhh-ke-toan-va-kiem-toan-phuong-nam.htm
2680,SabecoMienDong,CTCP Thương mại Sabeco Miền Đông,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SabecoMienDong-ctcp-thuong-mai-sabeco-mien-dong.htm
2681,SabecoNTB,CTCP Thương mại Bia Sài Gòn Nam Trung Bộ,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,0,https://finance.vietstock.vn/SabecoNTB-ctcp-thuong-mai-bia-sai-gon-nam-trung-bo.htm
2682,SabecoSongHau,CTCP Thương mại Sabeco Sông Hậu,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SabecoSongHau-ctcp-thuong-mai-sabeco-song-hau.htm
2683,SabecoTayNguyen,CTCP Thương mại Bia Sài Gòn Tây Nguyên,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SabecoTayNguyen-ctcp-thuong-mai-bia-sai-gon-tay-nguyen.htm
2684,Sabibeco,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,Sản xuất thực phẩm,OTC,56576236,https://finance.vietstock.vn/Sabibeco-ctcp-tap-doan-bia-sai-gon-binh-tay.htm
2685,SachBinhDuong,CTCP Sách - Thiết bị Giáo dục Bình Dương,Công nghiệp xuất bản - Ngoại trừ internet,OTC,1000000,https://finance.vietstock.vn/SachBinhDuong-ctcp-sach-thiet-bi-giao-duc-binh-duong.htm
2686,SachHoaBinh,CTCP Sách và Thiết bị Trường học Hòa Bình,Sản xuất giấy,OTC,1000000,https://finance.vietstock.vn/SachHoaBinh-ctcp-sach-va-thiet-bi-truong-hoc-hoa-binh.htm
2687,SachThanhHoa,CTCP Sách và Thiết bị Trường học Thanh Hóa,Công nghiệp xuất bản - Ngoại trừ internet,OTC,1050000,https://finance.vietstock.vn/SachThanhHoa-ctcp-sach-va-thiet-bi-truong-hoc-thanh-hoa.htm
2688,Sadaco,CTCP Phát triển Sản xuất Thương mại Sài Gòn,"Sản xuất các sản phẩm điện tử, vi tính",OTC,0,https://finance.vietstock.vn/Sadaco-ctcp-phat-trien-san-xuat-thuong-mai-sai-gon.htm
2689,SAGEL,CTCP Điện tử và Dịch vụ Công nghiệp Sài Gòn,"Sản xuất trang thiết bị, dụng cụ điện",OTC,0,https://finance.vietstock.vn/SAGEL-ctcp-dien-tu-va-dich-vu-cong-nghiep-sai-gon.htm
2690,SAGRI,Tổng Công ty Nông nghiệp Sài Gòn - TNHH MTV,Hoạt động hỗ trợ cho nông lâm nghiệp,Khác,0,https://finance.vietstock.vn/SAGRI-tong-cong-ty-nong-nghiep-sai-gon-tnhh-mtv.htm
2691,Saicom,CTCP Đầu Tư và Xây dựng Bưu Chính Viễn Thông,Viễn thông,OTC,0,https://finance.vietstock.vn/Saicom-ctcp-dau-tu-va-xay-dung-buu-chinh-vien-thong.htm
2692,SAIGON5,Công ty TNHH MTV Xây dựng Thương mại Sài Gòn 5,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SAIGON5-cong-ty-tnhh-mtv-xay-dung-thuong-mai-sai-gon-5 .htm
2693,SaiGonAir,CTCP Sài Gòn Sân Bay,Vận tải đường bộ,OTC,0,https://finance.vietstock.vn/SaiGonAir-ctcp-sai-gon-san-bay.htm
2694,SaiGonART,CTCP Mỹ thuật Sài Gòn,Bán lẻ hàng hóa khác,OTC,0,https://finance.vietstock.vn/SaiGonART-ctcp-my-thuat-sai-gon.htm
2695,SaiGonAuditing,Công ty TNHH Kiểm toán - Thuế - Tư vấn Sài Gòn,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SaiGonAuditing-cong-ty-tnhh-kiem-toan-thue-tu-van-sai-gon.htm
2696,SaiGonCapital,CTCP Quản lý Quỹ Sài Gòn,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,4380000,https://finance.vietstock.vn/SaiGonCapital-ctcp-quan-ly-quy-sai-gon.htm
2697,SAIGONIPD,Công ty TNHH MTV Phát triển Khu Công nghiệp Sài Gòn,Kho bãi,Khác,0,https://finance.vietstock.vn/SAIGONIPD-cong-ty-tnhh-mtv-phat-trien-khu-cong-nghiep-sai-gon.htm
2698,SaiGonNinhChu,CTCP Du lịch Sài Gòn Ninh Chữ,Dịch vụ quản lý và tái chế chất thải,OTC,6900000,https://finance.vietstock.vn/SaiGonNinhChu-ctcp-du-lich-sai-gon-ninh-chu.htm
2699,SaiGonXanh,CTCP Đầu tư Phát triển Địa Ốc Sài Gòn Xanh,"Xây dựng nhà cửa, cao ốc",OTC,30000000,https://finance.vietstock.vn/SaiGonXanh-ctcp-dau-tu-phat-trien-dia-oc-sai-gon-xanh.htm
2700,SAMCO,Tổng Công ty Cơ Khí Giao thông Vận tải Sài Gòn TNHH MTV,Sản xuất phương tiện vận tải,Khác,0,https://finance.vietstock.vn/SAMCO-tong-cong-ty-co-khi-giao-thong-van-tai-sai-gon-tnhh-mtv.htm
2701,SamSet,CTCP Vận tải và Dịch vụ Hàng Hải Cảng Sài Gòn,Hỗ trợ vận tải,OTC,0,https://finance.vietstock.vn/SamSet-ctcp-van-tai-va-dich-vu-hang-hai-cang-sai-gon.htm
2702,SanglapAchau,Công ty TNHH Kiểm toán Tư vấn Sáng lập Á Châu,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SanglapAchau-cong-ty-tnhh-kiem-toan-tu-van-sang-lap-a-chau.htm
2703,SaoViet,Công ty TNHH Kiểm toán Sao Việt,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SaoViet-cong-ty-tnhh-kiem-toan-sao-viet.htm
2704,Sapasco,CTCP Bao bì và Dịch vụ Sam Thịnh,Sản xuất giấy,OTC,0,https://finance.vietstock.vn/Sapasco-ctcp-bao-bi-va-dich-vu-sam-thinh.htm
2705,SATICO,Công ty TNHH MTV Satra Tiền Giang,Hoạt động hỗ trợ cho nông lâm nghiệp,Khác,0,https://finance.vietstock.vn/SATICO-cong-ty-tnhh-mtv-satra-tien-giang.htm
2706,SATRA,Tổng Công ty Thương mại Sài Gòn TNHH MTV,Bán buôn hàng tiêu dùng,Khác,0,https://finance.vietstock.vn/SATRA-tong-cong-ty-thuong-mai-sai-gon-tnhh-mtv.htm
2707,SatraTayNam,Công ty TNHH MTV Satra Tây Nam,Bán buôn hàng tiêu dùng,Khác,0,https://finance.vietstock.vn/SatraTayNam-cong-ty-tnhh-mtv-satra-tay-nam.htm
2708,SBBS,CTCP Chứng khoán Saigonbank Berjaya,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,30000000,https://finance.vietstock.vn/SBBS-ctcp-chung-khoan-saigonbank-berjaya.htm
2709,SBC,CTCP Vận tải và Giao nhận Bia Sài Gòn,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,OTC,8000000,https://finance.vietstock.vn/SBC-ctcp-van-tai-va-giao-nhan-bia-sai-gon.htm
2710,SBF,CTCP Quản lý Quỹ Sabeco,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0,https://finance.vietstock.vn/SBF-ctcp-quan-ly-quy-sabeco.htm
2711,SBF1,Quỹ đầu tư Sabeco 1,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0,https://finance.vietstock.vn/SBF1-quy-dau-tu-sabeco-1.htm
2712,SCB,Ngân hàng TMCP Sài Gòn,Trung gian tín dụng và các hoạt động liên quan,OTC,0,https://finance.vietstock.vn/SCB-ngan-hang-tmcp-sai-gon.htm
2713,SCCV,CTCP Than Miền Nam - Vinacomin,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,0,https://finance.vietstock.vn/SCCV-ctcp-than-mien-nam-vinacomin.htm
2714,SCFC,CTCP Lương thực Nam Trung Bộ,Bán buôn hàng tiêu dùng,OTC,0,https://finance.vietstock.vn/SCFC-ctcp-luong-thuc-nam-trung-bo.htm
2715,SCH,CTCP Thủy điện Sông Chảy 5,"Nước, chất thải và các hệ thống khác",OTC,15000000,https://finance.vietstock.vn/SCH-ctcp-thuy-dien-song-chay-5.htm
2716,SCIC,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SCIC-tong-cong-ty-dau-tu-va-kinh-doanh-von-nha-nuoc.htm
2717,SCJSC,CTCP Sài Gòn - Cam Ranh,Chăn nuôi,OTC,0,https://finance.vietstock.vn/SCJSC-ctcp-sai-gon-cam-ranh.htm
2718,SDBP,CTCP Sông Đà Bình Phước,"Xây dựng nhà cửa, cao ốc",OTC,7000000,https://finance.vietstock.vn/SDBP-ctcp-song-da-binh-phuoc.htm
2719,SDE,CTCP Kỹ thuật Điện Sông Đà,Xây dựng công nghiệp nặng và dân dụng,OTC,1751092,https://finance.vietstock.vn/SDE-ctcp-ky-thuat-dien-song-da.htm
2720,SDF,Công ty Tài chính Cổ phần Sông Đà,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,68600000,https://finance.vietstock.vn/SDF-cong-ty-tai-chinh-co-phan-song-da.htm
2721,SDI,CTCP Đầu Tư và Phát triển Đô Thị Sài Đồng,Phát triển bất động sản,Khác,119995800,https://finance.vietstock.vn/SDI-ctcp-dau-tu-va-phat-trien-do-thi-sai-dong.htm
2722,SDL,CTCP Sông Đà - Hoàng Long,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SDL-ctcp-song-da-hoang-long.htm
2723,SDNT,CTCP Sông Đà - Nha Trang,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SDNT-ctcp-song-da-nha-trang.htm
2724,SDS,CTCP Xây lắp và Đầu tư Sông Đà,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SDS-ctcp-xay-lap-va-dau-tu-song-da.htm
2725,SeafoodF17,CTCP Nha Trang Seafoods - F17,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SeafoodF17-ctcp-nha-trang-seafoods-f17.htm
2726,SeASecurities,CTCP Chứng khoán Asean,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,50000000,https://finance.vietstock.vn/SeASecurities-ctcp-chung-khoan-asean.htm
2727,SEC,CTCP Mía đường - Nhiệt điện Gia Lai,Sản xuất thực phẩm,OTC,38999876,https://finance.vietstock.vn/SEC-ctcp-mia-duong-nhiet-dien-gia-lai.htm
2728,SEL,CTCP Sông Đà 11 Thăng Long,"Xây dựng nhà cửa, cao ốc",OTC,5000000,https://finance.vietstock.vn/SEL-ctcp-song-da-11-thang-long.htm
2729,Serrano,CTCP Serrano Việt Nam,Sản xuất các sản phẩm gỗ,OTC,5300000,https://finance.vietstock.vn/Serrano-ctcp-serrano-viet-nam.htm
2730,SFA1,Quỹ đầu tư Chứng khoán Sài Gòn A1,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SFA1-quy-dau-tu-chung-khoan-sai-gon-a1.htm
2731,SFA2,Quỹ đầu tư Chứng khoán Sài Gòn A2,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SFA2-quy-dau-tu-chung-khoan-sai-gon-a2.htm
2732,SFT,CTCP Softech,Công nghiệp xuất bản - Ngoại trừ internet,OTC,3000000,https://finance.vietstock.vn/SFT-ctcp-softech.htm
2733,SGAudit,Công ty TNHH Kiểm toán và Tin học Sài Gòn,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SGAudit-cong-ty-tnhh-kiem-toan-va-tin-hoc-sai-gon.htm
2734,SGCLInresco,CTCP Đầu tư và Địa ốc Sài Gòn Chợ Lớn,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SGCLInresco-ctcp-dau-tu-va-dia-oc-sai-gon-cho-lon.htm
2735,SGDiamond,CTCP Sài Gòn Kim Cương,Chăn nuôi,OTC,0,https://finance.vietstock.vn/SGDiamond-ctcp-sai-gon-kim-cuong.htm
2736,SGIC,CTCP Quản lý Quỹ đầu tư SGI,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0,https://finance.vietstock.vn/SGIC-ctcp-quan-ly-quy-dau-tu-sgi.htm
2737,SGNAudit,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán SGN,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SGNAudit-cong-ty-tnhh-kiem-toan-va-tu-van-tai-chinh-ke-toan-sgn.htm
2738,SGPC,CTCP Giấy Sài Gòn,Sản xuất giấy,OTC,0,https://finance.vietstock.vn/SGPC-ctcp-giay-sai-gon.htm
2739,SHBFinance,Công ty TNHH MTV Ngân hàng TMCP Sài Gòn - Hà Nội,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/SHBFinance-cong-ty-tnhh-mtv-ngan-hang-tmcp-sai-gon-ha-noi.htm
2740,SHBS,CTCP Chứng khoán SHB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,15000000,https://finance.vietstock.vn/SHBS-ctcp-chung-khoan-shb.htm
2741,SHBVinacomin,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm và các hoạt động liên quan,OTC,0,https://finance.vietstock.vn/SHBVinacomin-tong-cong-ty-co-phan-bao-hiem-sai-gon-ha-noi.htm
2742,SHF,CTCP Quản lý Quỹ đầu tư Sài Gòn - Hà Nội,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0,https://finance.vietstock.vn/SHF-ctcp-quan-ly-quy-dau-tu-sai-gon-ha-noi.htm
2743,SHINEC,CTCP Công nghiệp Tàu thủy Shinec,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,OTC,1500000,https://finance.vietstock.vn/SHINEC-ctcp-cong-nghiep-tau-thuy-shinec.htm
2744,Shinhan,Ngân hàng TNHH MTV Shinhan Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/Shinhan-ngan-hang-tnhh-mtv-shinhan-viet-nam.htm
2745,ShinhanFi,Công ty Tài chính TNHH MTV Shinhan Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/ShinhanFi-cong-ty-tai-chinh-tnhh-mtv-shinhan-viet-nam.htm
2746,Shinhanvina,Ngân hàng Liên doanh Shinhanvina,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/Shinhanvina-ngan-hang-lien-doanh-shinhanvina.htm
2747,SHL,CTCP Đầu tư Sông Hồng - Thăng Long,Bất động sản,OTC,3000000,https://finance.vietstock.vn/SHL-ctcp-dau-tu-song-hong-thang-long.htm
2748,SHV,CTCP Hải Việt,Sản xuất thực phẩm,OTC,6263720,https://finance.vietstock.vn/SHV-ctcp-hai-viet.htm
2749,Sihanoukville,Tập đoàn Quản Lý Cảng Biển Sihanoukville Autonomous Port,Vận tải đường thủy,Campuchia,0,https://finance.vietstock.vn/Sihanoukville-tap-doan-quan-ly-cang-bien-sihanoukville-autonomous-port.htm
2750,SJCS,CTCP Chứng khoán ASAM,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/SJCS-ctcp-chung-khoan-asam.htm
2751,SKS,CTCP Công trình Giao thông Sông Đà,"Xây dựng nhà cửa, cao ốc",OTC,4500000,https://finance.vietstock.vn/SKS-ctcp-cong-trinh-giao-thong-song-da.htm
2752,SLC,CTCP Dịch vụ Xuất khẩu Lao động và Chuyên gia,Dịch vụ hành chính và hỗ trợ,OTC,9200000,https://finance.vietstock.vn/SLC-ctcp-dich-vu-xuat-khau-lao-dong-va-chuyen-gia.htm
2753,SLD,CTCP Địa ốc Sacom,Bất động sản,OTC,0,https://finance.vietstock.vn/SLD-ctcp-dia-oc-sacom.htm
2754,Smartlink,CTCP Dịch vụ Thẻ Smartlink,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/Smartlink-ctcp-dich-vu-the-smartlink.htm
2755,SME,CTCP Chứng khoán SME,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,22500000,https://finance.vietstock.vn/SME-ctcp-chung-khoan-sme.htm
2756,SMEC,CTCP Quản lý Quỹ Amber,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,2500000,https://finance.vietstock.vn/SMEC-ctcp-quan-ly-quy-amber.htm
2757,SMVC,CTCP Seoul Metal Việt Nam,Sản xuất sản phẩm kim loại tổng hợp,OTC,0,https://finance.vietstock.vn/SMVC-ctcp-seoul-metal-viet-nam.htm
2758,SNG,CTCP Sông Đà 10.1,"Xây dựng nhà cửa, cao ốc",OTC,4663060,https://finance.vietstock.vn/SNG-ctcp-song-da-10-1.htm
2759,SocTrang,CTCP Thủy sản Sóc Trăng,Quản trị doanh nghiệp,OTC,0,https://finance.vietstock.vn/SocTrang-ctcp-thuy-san-soc-trang.htm
2760,SoiTraLy,CTCP Sợi Trà Lý,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/SoiTraLy-ctcp-soi-tra-ly.htm
2761,SON,CTCP Cung ứng Nhân lực Quốc tế và Thương mại,Dịch vụ hành chính và hỗ trợ,OTC,9729930,https://finance.vietstock.vn/SON-ctcp-cung-ung-nhan-luc-quoc-te-va-thuong-mai.htm
2762,Sonacon,CTCP Xây lắp Sonacons,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/Sonacon-ctcp-xay-lap-sonacons.htm
2763,SonBachTuyet,CTCP Sơn Bạch Tuyết,"Sản xuất hóa chất, dược phẩm",OTC,0,https://finance.vietstock.vn/SonBachTuyet-ctcp-son-bach-tuyet.htm
2764,SonChatDeo,CTCP Sơn - Chất Dẻo,"Sản xuất hóa chất, dược phẩm",OTC,0,https://finance.vietstock.vn/SonChatDeo-ctcp-son-chat-deo.htm
2765,SongDa,CTCP Vật liệu Xây dựng Sông Đà,Quản trị doanh nghiệp,OTC,0,https://finance.vietstock.vn/SongDa-ctcp-vat-lieu-xay-dung-song-da.htm
2766,SongDa109,CTCP Sông Đà 10.9,"Xây dựng nhà cửa, cao ốc",OTC,1550000,https://finance.vietstock.vn/SongDa109-ctcp-song-da-10-9.htm
2767,SongDa17,CTCP Sông Đà 17,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SongDa17-ctcp-song-da-17.htm
2768,SongDaHoangLien,CTCP Thủy điện Sông Đà - Hoàng Liên,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SongDaHoangLien-ctcp-thuy-dien-song-da-hoang-lien.htm
2769,SongHau,CTCP Chế biến Thực phẩm Sông Hậu,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SongHau-ctcp-che-bien-thuc-pham-song-hau.htm
2770,SongHong,CTCP Năng lượng Sông Hồng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/SongHong-ctcp-nang-luong-song-hong.htm
2771,SonlaUrenco,CTCP Môi trường và Dịch vụ Đô thị Sơn La,"Nước, chất thải và các hệ thống khác",Khác,0,https://finance.vietstock.vn/SonlaUrenco-ctcp-moi-truong-va-dich-vu-do-thi-son-la.htm
2772,SonTra,CTCP Đầu tư Phong Phú Sơn Trà,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/SonTra-ctcp-dau-tu-phong-phu-son-tra.htm
2773,SOSAL,CTCP Tập đoàn Muối Miền Nam,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/SOSAL-ctcp-tap-doan-muoi-mien-nam.htm
2774,SOV,CTCP Mắt kính Sài Gòn,"Cửa hàng bán sản phẩm chăm sóc sức khỏe, thân thể",OTC,1914900,https://finance.vietstock.vn/SOV-ctcp-mat-kinh-sai-gon.htm
2775,Sovico,CTCP Sovico,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/Sovico-ctcp-sovico.htm
2776,SPS,CTCP Dịch vụ Dầu khí Sài Gòn,Dịch vụ hành chính và hỗ trợ,OTC,0,https://finance.vietstock.vn/SPS-ctcp-dich-vu-dau-khi-sai-gon.htm
2777,SPT,CTCP Dịch vụ Bưu chính Viễn thông Sài Gòn,Viễn thông,OTC,0,https://finance.vietstock.vn/SPT-ctcp-dich-vu-buu-chinh-vien-thong-sai-gon.htm
2778,SPTAudit,Công ty TNHH Định giá và Kiểm toán SPT,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SPTAudit-cong-ty-tnhh-dinh-gia-va-kiem-toan-spt.htm
2779,SSAudit,Công ty TNHH Tư vấn - Kiểm toán S&S,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/SSAudit-cong-ty-tnhh-tu-van-kiem-toan-ss.htm
2780,SSGGroup,CTCP Tập đoàn S.S.G,Bất động sản,OTC,55000000,https://finance.vietstock.vn/SSGGroup-ctcp-tap-doan-s-s-g.htm
2781,SSIAM,Công ty TNHH Quản lý Quỹ SSI,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0,https://finance.vietstock.vn/SSIAM-cong-ty-tnhh-quan-ly-quy-ssi.htm
2782,SSIIMF,Quỹ đầu tư Thành viên SSI,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SSIIMF-quy-dau-tu-thanh-vien-ssi.htm
2783,SSISCA,Quỹ đầu tư Lợi thế Cạnh tranh Bền vững SSI,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/SSISCA-quy-dau-tu-loi-the-canh-tranh-ben-vung-ssi.htm
2784,SSIVF,Quỹ Tầm Nhìn SSI,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SSIVF-quy-tam-nhin-ssi.htm
2785,SSS,CTCP Sông Đà 6.06,"Xây dựng nhà cửa, cao ốc",OTC,2500000,https://finance.vietstock.vn/SSS-ctcp-song-da-6-06.htm
2786,SST,CTCP Thương mại Bia Sài Gòn Sông Tiền,Sản xuất đồ uống và thuốc lá,OTC,4000000,https://finance.vietstock.vn/SST-ctcp-thuong-mai-bia-sai-gon-song-tien.htm
2787,SSV,Công ty TNHH Chứng khoán Shinhan Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0,https://finance.vietstock.vn/SSV-cong-ty-tnhh-chung-khoan-shinhan-viet-nam.htm
2788,StandardAudit,Công ty TNHH Kiểm toán Tiêu Chuẩn,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/StandardAudit-cong-ty-tnhh-kiem-toan-tieu-chuan.htm
2789,StandardChartered,Ngân hàng TNHH MTV Standard Chartered Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/StandardChartered-ngan-hang-tnhh-mtv-standard-chartered-viet-nam.htm
2790,STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô,Sản xuất đồ uống và thuốc lá,OTC,20000000,https://finance.vietstock.vn/STD-ctcp-bia-nuoc-giai-khat-sai-gon-tay-do.htm
2791,STI,CTCP Đầu tư Sài Gòn Thương Tín,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,37500000,https://finance.vietstock.vn/STI-ctcp-dau-tu-sai-gon-thuong-tin.htm
